text,selected_text,sentiment
 Its over for them,Its over for them,neutral
had a good day but im now skint again,had a good day but im now skint again,neutral
 Oh you do? I have the ability to teleport,Oh you do? I have the ability to teleport,neutral
 read your status update & just wanted 2 b sure I was on your follow list  Hope u r having a wondefl wkend Michael~blessings,l~blessings,positive
 thanks!!  I`m a fabric addict lately - I`ve bought soooo much!,thanks!!,positive
No one is bringing snacks,No one is bringing snacks,neutral
Cleaning the House! Im so boring..,Im so boring..,negative
Traffic is down to a crawl on I-94 right now.,Traffic is down to a crawl,negative
Getting used to this shoulder immobilizer thing. Even getting used to sleeping in the recliner.,Getting used to this shoulder immobilizer thing. Even getting used to sleeping in the recliner.,neutral
Great day. And another one awaits,Great day.,positive
upset.. friday night crying!,crying!,negative
I`m either always on the train or at work,I`m either always on the train or at work,neutral
"ï¿½ï¿½h. iï¿½m gonna go in the 'big' house now, borrow my sis guitar and play and maybe write","ï¿½ï¿½h. iï¿½m gonna go in the 'big' house now, borrow my sis guitar and play and maybe write",neutral
" I know! I can`t go either...it`s sad  She needs to come back to MI asap, haha",sad,negative
@ Pretty_Mess you missed all the free shots,@ Pretty_Mess you missed all the free shots,neutral
job hunting. yay.....,job hunting. yay.....,neutral
Thinkin` Twitter is interesting.,interesting.,positive
On my way to get the crate and Bella Dolce!!!! Sad cuz  is going tto Richmond,Sad,negative
Leaving for work.,Leaving for work.,neutral
_daarling haha yah it`s walking distance from my house  Mission Tiki Drive-In haha every summer we go like every weekend,_daarling haha yah it`s walking distance from my house  Mission Tiki Drive-In haha every summer we go like every weekend,neutral
 Well I`m obsessed w/all of them - but I watched the first one again last night  glorious! where can i get a wand?,Well I`m obsessed w/all of them - but I watched the first one again last night  glorious! where can i get a wand?,neutral
" WOMAN, I didn`t know you came home  you so suck!!! When are you going back!","WOMAN, I didn`t know you came home  you so suck!!! When are you going back!",negative
fun day with boo. short but fun,fun day,positive
"want to read twilight all day, not work at the stupid cher function","want to read twilight all day, not work at the stupid cher function",neutral
 i live in manchester england but still have never been to london,i live in manchester england but still have never been to london,neutral
home not well hate not workin,hate,negative
 haha I wish! I have a BFA in photography now.,wish!,positive
jerk josh! didn`t even come meet me  - im thinking of a number guess ?,didn`t even come meet me,negative
" _aston Welcome to Twitter! Let me know if you have any questions, would love to help.",would love to help.,positive
 gdgd well i better go and get ready for work :| haha have fun tonight  x x,fun,positive
 I hope it`ll go by as quickly as possible.,hope,positive
Beautiful monday morning  so happy  http://myloc.me/tCt,Beautiful monday morning  so happy,positive
"sooooooo NOT happy, wattching disney channel....rubbish rubbish rubbishhhhhh, didnt get my jonas 3d poster  the dude wasnt there but im..","NOT happy,",negative
Yay! Go wyattt your totally amazing`!`! Im So happy for you.  yay,happy,positive
bad day,bad day,negative
"Feeling so rough today, just want a cuddle and some sleep","Feeling so rough today,",negative
 Thank you very much Rex for FF,Thank you very much Rex for FF,positive
Theres nothing like your own pillow.,Theres nothing like your own pillow.,neutral
From Portugal to Derbyshire. At least sun is shining but lawn looks like Percy Thrower is Gardner-in-Residence! Weekend jobs =,From Portugal to Derbyshire. At least sun is shining but lawn looks like Percy Thrower is Gardner-in-Residence! Weekend jobs =,neutral
" Wow, you`re car`s awesome! Have fun with Alex.","Wow, you`re car`s awesome!",positive
OK guess I need to do actual work now.  How long until 5 pm? Oh no. I may have to ditch early.,ditch,negative
_SHeP  nope   i really want to play it aswell,_SHeP  nope   i really want to play it aswell,neutral
" It`s all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places","It`s all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places",neutral
"WOW, got killed on first wave of Horde on Gears. FAIL","WOW, got killed on first wave of Horde on Gears. FAIL",neutral
  EEW  Cheese. I hate cheese.,I hat,negative
"#bigfanfriday 2day, & i go & friggin loose 1, life sucks!!",life sucks!!,negative
finally got home and get to sleep! had a great time with  and friends!,had a great time,positive
"retweet please  awesome kawaii, anime and cosplay items: http://bit.ly/cUjXg",awesome,positive
 i wish i could call you but it will cost a lot  my parents wont let me,i wish i could call you but it will cost a lot  my parents wont let me,neutral
In KL now took wrong turn after Sg Besi now jam in city center,In KL now took wrong turn after Sg Besi now jam in city center,neutral
 I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def,e crazy,negative
: I sent you an other call me back message  x,: I sent you an other call me back message  x,neutral
I need some DRANK & 'GRAPE KONTAKT' from my girlies  lol SOOOO SERIOUS!,I need some DRANK & 'GRAPE KONTAKT' from my girlies  lol SOOOO SERIOUS!,neutral
shopping in Keswick,shopping in Keswick,neutral
Its cold,Its cold,neutral
 yes I am,yes I am,neutral
Time for my ritualistic Friday night depression,Time for my ritualistic Friday night depression,negative
"After a week staying with my Grandmother, I`m home in Lopatcong. . Can start my new book tonight.   http://twitpic.com/4w1s0","After a week staying with my Grandmother, I`m home in Lopatcong. . Can start my new book tonight.   http://twitpic.com/4w1s0",neutral
finally home  crazy party 2nite! thanks  4 driving me home!,crazy party 2nite! thanks  4 driving me home!,positive
 You`re welcome! It`s been a wonderful day  How about you? Stayin outta trouble or should I be ready to crash a party? LOL,wonderful,positive
needs to mug for Chinese A`s but doesn`t feel like it.,doesn`t feel,negative
"Oh noes, Not Your Average Joes in Lexington is closing!  Sad",Sad,negative
thinking about new.. oh yes .. btw bankroll stays at $14.88.. so down a bit from yesterday.. and I won`t whine about bad beats  ..,I won`t whine about bad beats  ..,positive
 u didn`t hit me up,u didn`t hit me up,neutral
 i work til 10:15...,i work til 10:15...,neutral
`Allo there twitter  how are we today?,`Allo there twitter  how are we today?,neutral
WOW Panic at the disco en Abbey Road,WOW Panic at the disco en Abbey Road,neutral
"_Efron 17 Again was amazing! I have seen it three times! It`s just hilarious, and you are fantastic!","Again was amazing! I have seen it three times! It`s just hilarious, and you are fantastic!",positive
" seems that you,  and I are all ex-baristas!  Commonalities ftw!","seems that you,  and I are all ex-baristas!  Commonalities ftw",neutral
 my plans might have just gone out the window too  bit gutted.,t gutted,negative
"I`ve been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad.","I`ve been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad.",neutral
 anytime!.. literally hahaha,anytime!.. literally hahaha,neutral
" i didn`t hit the right button or what. i wrote on the sheat tho, that i thought it was the cafe currency button. im sorry",im sorry,negative
 Mr Tweet I think,Mr Tweet I think,neutral
It`s raining that fine rain!!! U know the fine rain that wets you the most,It`s raining that fine rain!!!,positive
all my files got deleted,all my files got deleted,negative
 have you seen 'The Fifth Element'? makes 'super green' a lot funnier,lot funnier,positive
boo  rabbits pisses on people you know that,boo  rabbits pisses on people you know that,neutral
Got insurance forms for Polo. Feel a bit  Has to be done though.,Got insurance forms for Polo. Feel a bit  Has to be done though.,neutral
Stupid Twitter - now I`m faceless ...,Stupid Twitter - now I`m faceless ...,negative
_26 i wish you were here to take care of me,wish,positive
 That is EXACTLY how I feel right now.,That is EXACTLY how I feel right now.,neutral
 awww wish I was there! Have a brew for me B!,awww wish I was there!,positive
what a waste of lives ... http://tr.im/mLou,what a waste of lives,negative
"? Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace!  http://tr.im/kpK8",it`s ace!,positive
" hahaha, yes, our discussions always seem to jump around randomly","hahaha, yes, our discussions always seem to jump around randomly",neutral
Mad because quiz 5 answer on the BET Ford Fusion sweepstakes are all wrong,Mad,negative
" nuuuuu, i totally love may, it`s the best for me cos i was born in may",the best for me,positive
Listening to Broken by Lifehouse (on repeat),Listening to Broken by Lifehouse (on repeat),neutral
 es imposible no amar starbucks,imposible,negative
Brian is teaching me soccer!! Lots of fun,Lots of fun,positive
Still up playin rock band woot woot,Still up playin rock band woot woot,neutral
Mother`s Day is THIS Sunday.... don`t forget to send her something special  http://www.youtube.com/watch?v=ExpmTEVSFQg,special,positive
" Oh same here, can`t believe they killed him off!  Hate Stringer now!",Hate,negative
Writing this post on my new iPod Touch!,Writing this post on my new iPod Touch!,neutral
 because I couldn`t get the money to mikey in time.  trust me. It makes me sad too.,e sad,negative
not feelin 2day,not feelin 2day,neutral
 fantastic.... pick up a **** for me,fantastic.,positive
Today is check in day for week 12 of the Artist`s Way! Hurray time to celebrate another good completed journey.,time to celebrate an,positive
but  Humira isn`t right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done,but  Humira isn`t right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done,neutral
What a great night.,great,positive
I have now realized I am not cool enough to ever get a shout out from   (this player will not be playing on! hahahah),I have now realized I am not cool enough to ever get a shout out from   (this player will not be playing on! hahahah),neutral
Lost at bowling again  why do i suck,suck,negative
Joining twitter! Just added a random person,Joining twitter! Just added a random person,neutral
"So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!","So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!",neutral
"i`ve locked up a mac once or twice in my time. ok, literally once or twice.","i`ve locked up a mac once or twice in my time. ok, literally once or twice.",neutral
 he won`t reply,he won`t reply,neutral
 just called me a cheeseburglar. He made me sad,He made me sad,negative
"Why am I still away at 4am? Cos I don`t have school tomorrow, that`s why.","Why am I still away at 4am? Cos I don`t have school tomorrow, that`s why.",neutral
I jus planted a garden in my backyard,I jus planted a garden in my backyard,neutral
"Monday blues? Not today, not for me.","Monday blues? Not today, not for me.",neutral
"_Cullen10 That`s so nice to hear  i love you, you`re my best friend and my sister *hug u*","That`s so nice to hear  i love you, you`re my best friend and my sister *hug u*",positive
Just got done working out....relaxing than off to work,relaxing,positive
I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you,I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you,neutral
"BGT was just amazing tonight, and threee amazing acts got sent home",amazing,positive
"OMG-ness it`s 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I`m beat.",wish I said 9am. I`m beat.,negative
 I think that may look a little silly -.- Also my camera is broken so no photo,silly,negative
At work sick  but I`m ok to the mall!,At work sick,negative
 eh..not sure daw guesting ni cha on monday,eh..not sure daw guesting ni cha on monday,neutral
" always come up when we have the money least, it`s the rotten law of averages",it`s the rotten law of averages,negative
 Do you have any idea when the (not so) patient fans will see some teaser pics of you all in costume?,Do you have any idea when the (not so) patient fans will see some teaser pics of you all in costume?,neutral
fell down while holdin kales hand today...I hurt my foot & he bruised his forehead  im such a klutz!,hurt my foot & he bruised his forehead  im such a klutz!,negative
 also just spoke to my <3...              ï¿½tearï¿½,also just spoke to my <3.,positive
" lolzz @ public script, wait  - n- watch","lolzz @ public script, wait  - n- watch",neutral
 I just texted you but I hope you know you are my favorite,you are my favorite,positive
": I`m sure lots of that studio equipment was collected analog stuff that can`t be bought anymore.    seriously, condolences.","y, condolence",negative
i have three hours to do my hair. and it STILL won`t be straight,i have three hours to do my hair. and it STILL won`t be straight,negative
"Today isn`t going the way I planned.  Early lunchbreak & I may not be back til Mon. Weekend gonna be fun with friends, tho.",fun,positive
"_Morris Congratulations! what a milestone for you and your girls! I`m almost at five months, just for one though  You rock!",Congratulations!,positive
fun times. just broke my usb stick.. like literally broke it..,fun times.,positive
_CLP i heard 88db is better for mixing down...especially  if you use 808 sounds,i heard 88db is better for mixing down...especially  if you use 808 sounds,neutral
I want some cheese fries from fontanas.,I want some cheese fries from fontanas.,neutral
 i`m using paint.net x64 and it`s running crazily fast - can`t afford CS4 unfortunately... yet,unfortunately.,negative
At ihop with the besties..minus one  where`s the dr.???? At work of course,At ihop with the besties..minus one  where`s the dr.???? At work of course,neutral
 me too dawg  thanks so much!,thanks so much!,positive
  Chris` baby was born today!,Chris` baby was born today!,neutral
thank you  (: cant wait!!!! ummm btw ima crash still sick,thank you  (: cant wait!!!! ummm btw ima crash still sick,neutral
 at least posada had a good ab,had a good ab,positive
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive
 Have fun amorsote even tho u forgot my bday,Have fun,positive
 sorry my friend ... but  is paying the mortgage!,sorry my friend ... but  is paying the mortgage,negative
Finally making some headway in the family room!  Home is finally begining to look like it!  btw dial up can go die!,finally begining to look like it!,positive
 Do you ever sleep?,Do you ever sleep?,neutral
" cant say i havee, im at james` but i did some rs yesterdayy!. im learning my quotess",. im learning my quotess,positive
Well hello twitters,Well hello twitters,positive
" awww, that`s cute.",that`s cute.,positive
Today is a blessed day,blessed,positive
Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend,Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend,positive
" I`m hearing lots of good things about the new Trek movie. I`ll see if my Dad, 'a fellow Treky', would like to see it",lots of good things,positive
"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it.",Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return,negative
oh no somebody hacked into my email  i`m scared now. what the ****!!,hacked,negative
_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,neutral
 all the best for your IB exams Carl. I hope you don`t find them too difficult and that they go well for you.,hope,positive
"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!",.i want onscreen keyboard dammit!,negative
_x butbutbuttt he replied to you loads,he replied to you loads,neutral
" it`s stable, faster than 2.x and working.","it`s stable, faster than 2.x and working.",neutral
nooooooo  sue is retiring  no no no no!,nooooooo  sue is retiring  no no no no!,negative
Ok so Jeff looks like he has a black eye!!,Ok so Jeff looks like he has a black eye!!,neutral
"Scream just played on my iPod. First thing that comes to mind, BEAR MACHINEEEEE!!!! Lol","Scream just played on my iPod. First thing that comes to mind, BEAR MACHINEEEEE!!!! Lol",neutral
I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee,I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee,neutral
For   ? http://blip.fm/~5jbp3,For   ? http://blip.fm/~5jbp3,neutral
NEW STRIPEY TOP DAY!,NEW STRIPEY TOP DAY!,neutral
 nothing  let`s stay quiet together. ps: did you cry?,nothing  let`s stay quiet together. ps: did you cry?,neutral
Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,good,positive
Class until 9:30  yes on a Friday night...,Class until 9:30  yes on a Friday night...,neutral
_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,neutral
Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,neutral
 wtf pogs are back too?,wtf,negative
<< Finaly Back to home..,<< Finaly Back to home..,neutral
 you are welcome  `s book is a good reminder as to WHY we escaped the cube!,a good,positive
"Sad news, after a week in the hospital, My uncle past away today. R.I.P. Uncle Tony",Sad,negative
" And now she also rides giant squids...who knew! Ama hafta go now  i`ll try and get on later, love to you ****",", love to you",positive
  **** was about to call,**** was about to call,neutral
"_15 No, I haven`t seen it yet!  But once it comes out on DVD.. ;) hehe. Haha",Haha,positive
" You must be doing different poetry to me. All we get is Catullus, some Ovid and and an extract from the Aeneid.  x","You must be doing different poetry to me. All we get is Catullus, some Ovid and and an extract from the Aeneid.",neutral
im hungry.due to last night`s dinner..or lack there of.. someone take care of me,im hungry.due to last night`s dinner..or lack there of.. someone take care of me,neutral
" Yeah, I`m not really feeling it either. Of course, I don`t like the movie line, I wish that we were getting more Animated.",", I don`t like the movie line,",negative
_eyes I wish I knew!  The curse of Tumblr.,wish,positive
At the Spoke Club - fell in love with Tom Arnold all over again (not Rosie`**** definitely different)... Lucky moi,love,positive
_lord But that means you`ll leave me alone.,_lord But that means you`ll leave me alone.,neutral
ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,neutral
 Have you been going to the Trop for the last 5 years?  No more games for you!,Have you been going to the Trop for the last 5 years?  No more games for you!,neutral
 ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.,favorite,positive
i decided that myspacee is wayy better,wayy better,positive
"I`m eating a flake storm from hungry jacks. or as americans call it, burger king","I`m eating a flake storm from hungry jacks. or as americans call it, burger king",neutral
just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,positive
madd bored,bored,negative
 NKOTB world is the best place to be,best,positive
" I still have plenty of food left here! Thanks for coming over, I can`t wait to see how the pictures came out",Thanks,positive
 well I hovered over the button LOL NOT - sleep well Tiff and you are welcome,welcome,positive
Morning all! Something for the weekend and leftover dominos. Noiiiiice,Noiiiiice,positive
"Hey , I bet you and your tweeps have lots of mother wisdom to share.",your tweeps have lots of mother wisdom to share.,positive
 genevaaa! my picture isnt showing up  i dont think im doing it right,my picture isnt showing up,negative
still no date for bon iver next week,still no date for bon iver next week,neutral
"_beli haha yeah u did, oh well theres always next yr  chin up princess hehe","haha yeah u did, oh well theres always next yr  chin up princess hehe",neutral
 Woo Hoo! It`s time to play 'Name That Twune',Woo Hoo! It`s time to play 'Name That Twune',neutral
"Oh, but Grease is on VH1! It`s almost over, though  http://myloc.me/2215","Oh, but Grease is on VH1! It`s almost over, though  http://myloc.me/2215",neutral
I am in total love with my Lip ring...more than all 12 of my piercings...it is my ut-most favorite,I am in total love,positive
  sowwy. Lover you,. Lover,positive
Worried for my cousin and her son,Worried,negative
 serio barroca?? parabens!!!!!!! May the 4th be with you!,May,positive
"is singing in the rain. Cover your ears, people","is singing in the rain. Cover your ears, people",neutral
Got my braces tightened today. Then I got McDonalds! HAHA  Sport tomorrow yay yay yay! Netball tryouts.. wish me luck to make the team! :l,yay yay yay!,positive
" how fun!! I like the beach, but I tend to get really dark fast.","! I like the beach,",positive
" ?? Sorry you posted the vid again, but it won`t load for me...",Sorry,negative
_v  haha i was in your boat yesterday.. you`ll pick it up in no time,haha,positive
Really tired this sunday morning  ****,Really tired,negative
"Arrggghhh...dang post office.  Did not get the package in yet, may have to wait until tomorrow",dang,negative
 Hi Selena i made this team to support you in Greece and Cyprus,support you,positive
"http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us","Microsoft has released Zune also in Europe, no HD for us",neutral
such a terrible day  only six now...,a terrible day,negative
this thing was more fun with my itouch,fun,positive
"Finally feels like a nice summer day, and I`m feeling sick","Finally feels like a nice summer day, and I`m feeling sick",neutral
 it`s because you`re popular,popular,positive
"watching #f1. I live near Montmelï¿½, I`m so excited about this race",excited,positive
 Follow me honey,Follow me honey,neutral
"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!",Hopefully! Vacations suck!,neutral
" yay! now ill shall take your picture, and get a tattoo on my arm","yay! now ill shall take your picture, and get a tattoo on my arm",neutral
decided that wolf in a future Star Trek Logo game would be much cooler than Chewy in Star Wars,cooler,positive
 i`m playing good because i`m a big baby,good,positive
" ohhh ok. so like, it`s more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn`t unlock it",frustrating?,negative
"blame it on the goose gotcha feelin loose, blame it on the tron gotcha in the zone;; michelle...this is your fault. lol.","blame it on the goose gotcha feelin loose, blame it on the tron gotcha in the zone;; michelle...this is your fault. lol.",neutral
is problem free for now.  atleast i already said to that person the truth.,is problem free for now.,positive
 I think that`s cutting off the URL so the pic doesn`t turn up.   #mishaneedschapstick,I think that`s cutting off the URL so the pic doesn`t turn up.   #mishaneedschapstick,neutral
" Hmm... it`s a miracle you`re using twitter, and it`s fun... so... Tweet!",it`s fun.,positive
"Am in the place called 0UT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI","Am in the place called 0UT OF NOW WHERE!! Take me out from here, somebody",negative
Oh that just made my evening.  I forgot Merlin was on tonight!  But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices.,Oh that just made my evening.,positive
"Perhaps the answers to all my questions, lie in the deep waves of the ocean. Beach trip anyone!?","Perhaps the answers to all my questions, lie in the deep waves of the ocean. Beach trip anyone!?",neutral
Dane Cook is at the sports arena tonight. Wish I had tickets,Wish I had ti,positive
 its cool,its cool,neutral
 god bless u and I hope the rest of your weekend is joyfull,god bless u and I hope the rest of your weekend is joyfull,positive
He is so silly.  http://twitpic.com/4jk6b,He is so silly.,negative
Go Canada they made Nikkie Payne #1 comic well she is soo yeah but she is only funny to pervs or teens or people in my family,Go Canada they made Nikkie Payne #1 comic well she is soo yeah but she is only funny to pervs or teens or people in my family,positive
ah remember the days when you`d sleep in until noon? well guess who did that today? god i feel like a loser,loser,negative
 p.s. sorry about ur uncle,sorry,negative
my mum was really happy about her pretty small present^^ oh wow tomorrow we can test one of her presents: one of the pasta recepies,happy,positive
 i love Paramore!  welcome back,love,positive
_om 'If I should paint my fingernails green- oh and it just so happens I do paint them green...'  Marvelous,Marvelous,positive
wtf come i need this day to go by,wtf,negative
_benson loved the #MacarAMBER!!!,loved,positive
jb are so cute!  lmfao -giggles-,cute!,positive
"I`m going through withdrawls,  missing someone!!!!",missing someone!!!!,negative
 - whoa. 'sack chasing whores' ? that is soo out of character for you to say that...  bring back my sweet Superman,- whoa. 'sack chasing whores' ? that is soo out of character for you to say that...  bring back my sweet Superman,neutral
i learnt something new today,i learnt something new today,neutral
 A friend uses Logic and I must admit I did like it...but I don`t have a Mac,A friend uses Logic and I must admit I did like it...but I don`t have a Mac,neutral
Reached Bangalore!! Now gotta hunt for rooms,Reached Bangalore!! Now gotta hunt for rooms,neutral
_ A blouse! ahahaha I gave her money and she went to get it!  Where`s your mom??,_ A blouse! ahahaha I gave her money and she went to get it!  Where`s your mom??,neutral
    Ive been dying for those!! They just so expensive in little sizes.,Ive been dying for those!! They just so expensive in little sizes,neutral
Yooooooo!? What up mates?!,Yooooooo!? What up mates?!,neutral
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,slower,negative
 Have fun at the show tonight... wish I could be there,fun,positive
"never thought i`d say this, but i miss my 9-5 job, the commute, my cubicle, free food & coffee and being downtown. why did i quit?",miss,negative
hand hurts,hand hurts,negative
"OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!",BAD,negative
 hmmm how bout my boi an me jammin sum john stephens for ya?,hmmm how bout my boi an me jammin sum john stephens for ya?,neutral
 ~ Sorry the response to my assistant job has already been filled. Please check back soon.  I`m sure she will not last long.,e she will not last long,negative
 checked with the hubster and I think we`ll pass -- feeling too lazy to caravan after running around with our friends.,checked with the hubster and I think we`ll pass -- feeling too lazy to caravan after running around with our friends.,neutral
auntiegail says `Today I am picking up the hi-vis vests for the kids they say `Auntie Gails Childminding Service`  ****.`,auntiegail says `Today I am picking up the hi-vis vests for the kids they say `Auntie Gails Childminding Service`  ****.`,neutral
 ****! I wish I were going! Found out too late to get wranglers for my kids and .  I miss #mountainjam every year!,****!,negative
 Woo! Twitter kind of sucked without you.,sucked,negative
" Look at all this feedback!  You should do it more often, seriously  The crazier the topic, the better.",", seriously  The crazier the topic, the better",positive
" LoL that`s from last winter (only a few months ago December) I`m in Seattle, felt like Siberia this last winter","LoL that`s from last winter (only a few months ago December) I`m in Seattle, felt like Siberia this last winter",neutral
@ kbal24 I am sorry that you are feeling that way.,I am sorry,negative
 How does it look like a Ninja Tutle?!  xo lol,How does it look like a Ninja Tutle?!  xo lol,neutral
She is all I can ever think about.  http://twitpic.com/4wg12,She is all I can ever think about.  http://twitpic.com/4wg12,neutral
 If you mean backround then.. Settings>design.. scroll to the bottem and click change backround image  & there ya go.,If you mean backround then.. Settings>design.. scroll to the bottem and click change backround image  & there ya go.,neutral
" Thanks, the more, the merrier","Thanks,",positive
This is why I got best dressed,best,positive
 haha better drunken tweeting you mean?,better,positive
 OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!,Very weird,negative
" aww , its ok,we ended up getting in later than expected and didnt go...I would of called you if we were able to, ...C U N Austin,","aww , its ok,we ended up getting in later than expected and didnt go...I would of called you if we were able to, ...C U N Austin,",neutral
"I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.","I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.",negative
"There go my big plans... thanks, tonsils.","There go my big plans... thanks, tonsils.",negative
is on the phone,is on the phone,neutral
"  hope you guys are having fun!  Can`t wait for ya`ll to be back, Wilmy isn`t the same without you",g fun,positive
is trying to find something to do tonight,is trying to find something to do tonight,neutral
"Everyone going to the hometown show is excited they get to go on Thames Street. I`M GONNA SEE THE ORIGINAL THAMES RIVER, ****. ohhhh.",****. ohhhh.,negative
Nice and clean now,Nice and clean now,positive
the downfall about relaxing later is mad manual labor now...just finish cleaning the fridge..and now to fold clothes..house work blues,house work blues,negative
" Well, guess we just make a pretty great pair.  So, I don`t think our birthday date is going to happen. :`(",".  So, I don`t think our birthday date is going to happen. :`(",negative
" Well, at least you wont be late!","Well, at least you wont be late!",negative
 I miss you too!!,I miss you too!!,negative
" That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",Sad.,negative
Lil cuz coming round today she 5  aww  haha,haha,positive
@_callmeCourt always welcome hun,welcome,positive
 Nice we didn`t see the fireworks but we sure heard `em,Nice,positive
just got out of the pool!!   so fun..now gonna watch tv and do stuff on the computer. (:,so fun.,positive
"Just taking my dad in law for a Sunday stroll down Old Leigh  a beautiful morning, say Hi to Morris LOL  http://twitpic.com/4wt8k","beautiful morning, say Hi to Morris LOL",positive
 you should see the Morning Rush Forum`s shoutbox. Overheat bcoz of campaign! Flying skirts!!!,Overheat,negative
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative
Soon my new job starts  I`m so happy!,I`m so happy!,positive
This is too much lmbo (litterally) I have to stop b4 I lose my twitter buddies,This is too much lmbo (litterally) I have to stop b4 I lose my twitter buddies,neutral
i wish i was at the beach already,wish,positive
 jet blue is okay I guess. They cancel flights and don`t have a lot of backup planes. And no first class,They cancel flights and don`t have a lot of backup planes. And no first class,negative
 I suppose it has a certain 80`s charm. I`d personally hold out for the motorola 8 track phone. I like my phones chunky,I suppose it has a certain 80`s charm. I`d personally hold out for the motorola 8 track phone. I like my phones chunky,neutral
On duty in the students union with only 3 punters. There are more of us here than members of the public,On duty in the students union with only 3 punters. There are more of us here than members of the public,neutral
let`s make this last forever.,last forever.,positive
 No problem! These boxes are _made_ for undernourished IT professionals,No problem!,positive
" OOooOO -- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime","- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime",positive
 wish i coulda been there,wish,positive
Aw i couldn`t see robert before practice. That makes me sad,That makes me sad,negative
" Aww, why not?","Aww, why not?",neutral
Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya,i loved it.,positive
" I wanted to, but I sadly work today.  Normally, I don`t work Fridays, either.",sadly,negative
" something for you is on its way in the mail to your PJ address, just fyi","something for you is on its way in the mail to your PJ address, just fyi",neutral
"5 Mins, till the end of follow me Friday","5 Mins, till the end of follow me Friday",neutral
 cool.. look forward for frequent tweets,cool.,positive
AHHHHHHHH omg Pridelines got talent is giving me a headache!! wtf omg osn !!! Make it stop mommy make it stop,AHHHHHHHH omg Pridelines got talent is giving me a headache!!,negative
Going to the courthouse to pay for tags & taxes on all our cars...this is gonna be expensive.,expensive.,negative
